<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_ADC_ADS1119_ASYNC_THREAD_INIT_PRIO,drivers/adc,int,drivers/adc/Kconfig.ads1119:17,0,0,—(未定义/依赖不满足),,,
CONFIG_ADC_ADS114S0X,drivers/adc,bool,drivers/adc/Kconfig.ads114s0x:5,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the ADS114S0X family,DT_HAS_TI_ADS114S08_ENABLED
CONFIG_ADC_ADS114S0X_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.ads114s0x:20,400,400,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,ADC_ADS114S0X
CONFIG_ADC_ADS114S0X_ASYNC_THREAD_INIT_PRIO,drivers/adc,int,drivers/adc/Kconfig.ads114s0x:15,0,0,—(未定义/依赖不满足),,,ADC_ADS114S0X
CONFIG_ADC_ADS114S0X_GPIO,drivers/adc,bool,drivers/adc/Kconfig.ads114s0x:28,n,n,—(未定义/依赖不满足),,Enable GPIO child device support in the ADS114S0x ADC driver. The GPIO functionality is handled by the ADS114S0x GPIO driver.,GPIO && ADC_ADS114S0X
CONFIG_ADC_ADS114S0X_WAIT_FOR_COMPLETION_TIMEOUT_MS,drivers/adc,int,drivers/adc/Kconfig.ads114s0x:38,1000,1000,—(未定义/依赖不满足),,This is the wait time in ms until a read is completed.,ADC_ADS114S0X
CONFIG_ADC_ADS1X1X,drivers/adc,bool,drivers/adc/Kconfig.ads1x1x:6,y,y,—(未定义/依赖不满足),,Enable ADS1X1X ADC driver.,DT_HAS_TI_ADS1013_ENABLED || DT_HAS_TI_ADS1014_ENABLED || \
CONFIG_ADC_ADS1X1X_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.ads1x1x:27,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_ADS1X1X_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.ads1x1x:33,1024,1024,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
CONFIG_ADC_ADS1X1X_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.ads1x1x:21,80,80,—(未定义/依赖不满足),,ADS1X1X ADC device driver initialization priority.,
CONFIG_ADC_ADS7052,drivers/adc,bool,drivers/adc/Kconfig.ads7052:5,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the ADS7052,DT_HAS_TI_ADS7052_ENABLED
CONFIG_ADC_ADS7052_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.ads7052:30,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_ADS7052_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.ads7052:23,512,512,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
CONFIG_ADC_ADS7052_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.ads7052:16,80,80,—(未定义/依赖不满足),,ADS7052 device initialization priority must come after SPI initialization,
CONFIG_ADC_ASYNC,drivers/adc,bool,drivers/adc/Kconfig:36,n（隐式）,—,—(未定义/依赖不满足),,This option enables the asynchronous API calls.,
CONFIG_ADC_B91_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.b91:21,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_B91_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.b91:14,512,512,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
CONFIG_ADC_CC13XX_CC26XX,drivers/adc,bool,drivers/adc/Kconfig.cc13xx_cc26xx:4,y,y,—(未定义/依赖不满足),,Enable the TI CC13XX/CC26XX ADC driver.,DT_HAS_TI_CC13XX_CC26XX_ADC_ENABLED
CONFIG_ADC_CC32XX,drivers/adc,bool,drivers/adc/Kconfig.cc32xx:4,y,y,—(未定义/依赖不满足),,This option enables the CC32XX ADC driver.,DT_HAS_TI_CC32XX_ADC_ENABLED
