<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_GIC_V2,drivers/interrupt_controller,,drivers/interrupt_controller/Kconfig.gic:24,—,—,—(未定义/依赖不满足),,"The ARM Generic Interrupt Controller v2 (e.g. GIC-400) works with the ARM Cortex-family processors. Selecting this symbol directly is deprecated. Please add the arm,gic-v2 compatible to the GIC node in your DT and remove the direct selection.",
CONFIG_GIC_V3,drivers/interrupt_controller,,drivers/interrupt_controller/Kconfig.gic:34,—,—,—(未定义/依赖不满足),,"The ARM Generic Interrupt Controller v3 (e.g. GIC-500 and GIC-600) works with the ARM Cortex-family processors. Selecting this symbol directly is deprecated. Please add the arm,gic-v3 compatible to the GIC node in your DT and remove the direct selection.",
CONFIG_GIC_V3_ITS,drivers/interrupt_controller,bool,drivers/interrupt_controller/Kconfig.gic:66,n（隐式）,—,—(未定义/依赖不满足),,"Support for the optional Interrupt Translation Service used to translate hardware interrupt from PCIe MSI messages for example. Please note that ITS uses dynamic memory, so HEAP_MEM_POOL_SIZE should be enough to allocate ITS tables (size is probed at runtime).",GIC_V3
CONFIG_GIC_V3_RDIST_MATCHING_AFF0_ONLY,drivers/interrupt_controller,bool,drivers/interrupt_controller/Kconfig.gic:58,y if CPU_CORTEX_R52,y if CPU_CORTEX_R52,—(未定义/依赖不满足),,"Some platforms only use aff0 to match mpdir and GICR.aff. With this enabled, we find the target redistributor by comparing the aff0 only.",GIC_V3
CONFIG_GIC_VER,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.gic:44,1 if GIC_V1 | 2 if GIC_V2 | 3 if GIC_V3,1 if GIC_V1 | 2 if GIC_V2 | 3 if GIC_V3,—(未定义/依赖不满足),,,GIC
CONFIG_GLIBCXX_LIBCPP,lib/cpp,bool,lib/cpp/Kconfig:91,n（隐式）,—,—(未定义/依赖不满足),,Build with GNU C++ Standard Library (libstdc++) provided by the GNU Compiler Collection (GCC)-based toolchain.,!NATIVE_APPLICATION | NEWLIB_LIBC || PICOLIBC
CONFIG_GNSS,drivers/gnss,bool,drivers/gnss/Kconfig:4,n（隐式）,—,n(未启用),,Enable GNSS drivers and configuration.,
CONFIG_GNSS_DUMP,drivers/gnss,bool,drivers/gnss/Kconfig:17,n（隐式）,—,—(未定义/依赖不满足),,Enable GNSS dump library,LOG
CONFIG_GNSS_DUMP_TO_LOG,drivers/gnss,bool,drivers/gnss/Kconfig:23,n（隐式）,—,—(未定义/依赖不满足),,Enable GNSS dump to log.,
CONFIG_GNSS_DUMP_TO_LOG_BUF_SIZE,drivers/gnss,int,drivers/gnss/Kconfig:31,128,128,—(未定义/依赖不满足),,Size of GNSS log dump buffer,
CONFIG_GNSS_INIT_PRIORITY,drivers/gnss,int,drivers/gnss/Kconfig:56,80,80,—(未定义/依赖不满足),,Driver initialization priority for GNSS drivers.,
CONFIG_GNSS_NMEA0183,drivers/gnss,bool,drivers/gnss/Kconfig:44,n（隐式）,—,—(未定义/依赖不满足),,Enable NMEA0183 parsing utilities.,
CONFIG_GNSS_NMEA0183_MATCH,drivers/gnss,bool,drivers/gnss/Kconfig:50,n（隐式）,—,—(未定义/依赖不满足),,Enable NMEA0183 match utilities.,
CONFIG_GNSS_NMEA_GENERIC,drivers/gnss,bool,drivers/gnss/Kconfig.generic:4,y,y,—(未定义/依赖不满足),,Generic NMEA based GNSS device.,GNSS | DT_HAS_GNSS_NMEA_GENERIC_ENABLED
CONFIG_GNSS_NMEA_GENERIC_SATELLITES_COUNT,drivers/gnss,int,drivers/gnss/Kconfig.generic:18,24,24,—(未定义/依赖不满足),,"Maximum number of satellite that the driver that can be decoded from the GNSS device. This does not affect the number of devices that the device is actually tracking, just how many of those can be reported in the satellites callback.",GNSS_SATELLITES
CONFIG_GNSS_PARSE,drivers/gnss,bool,drivers/gnss/Kconfig:39,n（隐式）,—,—(未定义/依赖不满足),,Enable GNSS parsing utilities.,
CONFIG_GNSS_QUECTEL_LCX6G,drivers/gnss,bool,drivers/gnss/Kconfig.quectel_lcx6g:5,y,y,—(未定义/依赖不满足),,Enable quectel LCX6G series GNSS modem driver.,GNSS | DT_HAS_QUECTEL_LC26G_ENABLED || DT_HAS_QUECTEL_LC76G_ENABLED || DT_HAS_QUECTEL_LC86G_ENABLED
CONFIG_GNSS_QUECTEL_LCX6G_SAT_ARRAY_SIZE,drivers/gnss,int,drivers/gnss/Kconfig.quectel_lcx6g:31,24,24,—(未定义/依赖不满足),,,
CONFIG_GNSS_QUECTEL_LCX6G_UART_RX_BUF_SIZE,drivers/gnss,int,drivers/gnss/Kconfig.quectel_lcx6g:21,256,256,—(未定义/依赖不满足),,,
CONFIG_GNSS_QUECTEL_LCX6G_UART_TX_BUF_SIZE,drivers/gnss,int,drivers/gnss/Kconfig.quectel_lcx6g:25,64,64,—(未定义/依赖不满足),,,
CONFIG_GNSS_SATELLITES,drivers/gnss,bool,drivers/gnss/Kconfig:12,n（隐式）,—,—(未定义/依赖不满足),,Enable GNSS sattelites callback.,
CONFIG_GPIO,drivers/gpio,bool,drivers/gpio/Kconfig:6 | boards/arm/arduino_mkrzero/Kconfig.defconfig:18 | boards/arm/arty/Kconfig.defconfig:21 | boards/arm/mr_canhubk3/Kconfig.defconfig:31 | boards/arm/ucans32k1sic/Kconfig.defconfig:18 | soc/arm/microchip_mec/mec1501/Kconfig.defconfig.mec1501hsz:11 | soc/arm/microchip_mec/mec172x/Kconfig.defconfig.mec172xnlj:11 | soc/arm/microchip_mec/mec172x/Kconfig.defconfig.mec172xnsz:11 | soc/arm/nordic_nrf/Kconfig.defconfig:38 | soc/arm/nxp_imx/mcimx7_m4/Kconfig.defconfig.mcimx7_m4:14 | soc/arm/nxp_imx/mimx8ml8_m7/Kconfig.defconfig.mimx8ml8_m7:16 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1010:18 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1015:17 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1021:17 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1024:17 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1042:12 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1052:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1062:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1064:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1166_cm4:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1166_cm7:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1176_cm4:14 | soc/arm/nxp_imx/rt/Kconfig.defconfig.mimxrt1176_cm7:14 | soc/arm/nxp_kinetis/k2x/Kconfig.defconfig.mk22f12:11 | soc/arm/nxp_kinetis/k6x/Kconfig.defconfig.mk64f12:15 | soc/arm/nxp_kinetis/k6x/Kconfig.defconfig.mk66f18:15 | soc/arm/nxp_kinetis/k8x/Kconfig.defconfig.series:22 | soc/arm/nxp_kinetis/ke1xf/Kconfig.defconfig.series:36 | soc/arm/nxp_kinetis/kv5x/Kconfig.defconfig.series:15 | soc/arm/nxp_lpc/lpc54xxx/Kconfig.defconfig.lpc54114_m0:11 | soc/arm/nxp_lpc/lpc55xxx/Kconfig.defconfig.lpc55S69_cpu1:11,n（隐式）,"y | y if ""$(dt_nodelabel_enabled,daplink_qspi_mux)"" | n",y,,Include GPIO drivers in system config,SPI
CONFIG_GPIO_AD5592,drivers/gpio,bool,drivers/gpio/Kconfig.ad5592:4,y,y,—(未定义/依赖不满足),,Enable the AD5592 GPIO driver.,DT_HAS_ADI_AD5592_GPIO_ENABLED
CONFIG_GPIO_ADS114S0X,drivers/gpio,bool,drivers/gpio/Kconfig.ads114s0x:6,y,y,—(未定义/依赖不满足),,Enable GPIO driver for ADS114S0x. The ADS114S0x is a multi-channel analog frontend (AFE). The GPIO port of the ADS114S0x (GPIO0 to GPIO3) is exposed as a GPIO controller driver with read/write support.,DT_HAS_TI_ADS114S0X_GPIO_ENABLED | ADC_ADS114S0X_GPIO
CONFIG_GPIO_ADS114S0X_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.ads114s0x:19,99,99,—(未定义/依赖不满足),,Device driver initialization priority. This driver must be initialized after the ADS114S0x ADC driver.,GPIO_ADS114S0X
CONFIG_GPIO_ALTERA_PIO,drivers/gpio,bool,drivers/gpio/Kconfig.altera:4,y,y,—(未定义/依赖不满足),,Enable driver for Altera PIO,DT_HAS_ALTR_PIO_1_0_ENABLED
CONFIG_GPIO_AMBIQ,drivers/gpio,bool,drivers/gpio/Kconfig.ambiq:8,y,y,—(未定义/依赖不满足),,Enable driver for Ambiq gpio.,DT_HAS_AMBIQ_GPIO_ENABLED
CONFIG_GPIO_ANDES_ATCGPIO100,drivers/gpio,bool,drivers/gpio/Kconfig.andes_atcgpio100:8,y,y,—(未定义/依赖不满足),,Enable driver for the Andes ATCGPIO100 GPIO controller. Says n if not sure.,DT_HAS_ANDESTECH_ATCGPIO100_ENABLED
CONFIG_GPIO_AS_PINRESET,soc/arm,bool,soc/arm/nordic_nrf/nrf52/Kconfig.soc:96,n（隐式）,—,—(未定义/依赖不满足),,"This option is deprecated, use devicetree instead. Example configuration: &uicr { gpio-as-nreset; };",
CONFIG_GPIO_AXP192,drivers/gpio,bool,drivers/gpio/Kconfig.axp192:4,y,y,—(未定义/依赖不满足),,Enable the AXP192 GPIO driver.,DT_HAS_X_POWERS_AXP192_GPIO_ENABLED | DT_HAS_X_POWERS_AXP192_ENABLED
CONFIG_GPIO_AXP192_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.axp192:14,81,81,—(未定义/依赖不满足),,Initialization priority for the AXP192 GPIO driver. It must be greater than the I2C controller init priority and the mfd driver init priority.,GPIO_AXP192
CONFIG_GPIO_BCM2711,drivers/gpio,bool,drivers/gpio/Kconfig.bcm2711:4,y,y,—(未定义/依赖不满足),,Enable BCM2711 GPIO driver.,DT_HAS_BRCM_BCM2711_GPIO_ENABLED
CONFIG_GPIO_BD8LB600FS,drivers/gpio,bool,drivers/gpio/Kconfig.bd8lb600fs:6,y,y,—(未定义/依赖不满足),,Enable driver for BD8LB600FS SPI-based GPIO chip.,DT_HAS_ROHM_BD8LB600FS_ENABLED | SPI
CONFIG_GPIO_BD8LB600FS_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.bd8lb600fs:16,75,75,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_CC13XX_CC26XX,drivers/gpio,bool,drivers/gpio/Kconfig.cc13xx_cc26xx:6,y,y,—(未定义/依赖不满足),,Enable the TI SimpleLink CC13xx / CC26xx GPIO driver.,DT_HAS_TI_CC13XX_CC26XX_GPIO_ENABLED
CONFIG_GPIO_CC32XX,drivers/gpio,bool,drivers/gpio/Kconfig.cc32xx:5,y,y,—(未定义/依赖不满足),,Enable the GPIO driver on TI SimpleLink CC32xx boards,DT_HAS_TI_CC32XX_GPIO_ENABLED
CONFIG_GPIO_CMSDK_AHB,drivers/gpio,bool,drivers/gpio/Kconfig.cmsdk_ahb:6,y,y,—(未定义/依赖不满足),,Enable config options to support the ARM CMSDK GPIO controllers. Says n if not sure.,DT_HAS_ARM_CMSDK_GPIO_ENABLED
CONFIG_GPIO_CY8C95XX,drivers/gpio,bool,drivers/gpio/Kconfig.cy8c95xx:6,y,y,—(未定义/依赖不满足),,Enable driver for CY8C95XX I2C GPIO chip.,DT_HAS_CYPRESS_CY8C95XX_GPIO_PORT_ENABLED | I2C
CONFIG_GPIO_CY8C95XX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.cy8c95xx:16,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_DAVINCI,drivers/gpio,bool,drivers/gpio/Kconfig.davinci:6,y,y,—(未定义/依赖不满足),,Enable the Davinci GPIO controller support.,DT_HAS_TI_DAVINCI_GPIO_ENABLED
CONFIG_GPIO_DW,drivers/gpio,bool,drivers/gpio/Kconfig.dw:6,y,y,—(未定义/依赖不满足),,Enable driver for Designware GPIO,DT_HAS_SNPS_DESIGNWARE_GPIO_ENABLED
CONFIG_GPIO_EC_LOG_LEVEL,应用层 drivers/Kconfig,int,ecfw-zephyr/drivers/Kconfig:108,2 if EC_DEBUG_LOG | 0,2 if EC_DEBUG_LOG | 0,2,,Set log level for GPIO wrapper driver.,LOG
CONFIG_GPIO_EFINIX_SAPPHIRE,drivers/gpio,bool,drivers/gpio/Kconfig.efinix_sapphire:4,y,y,—(未定义/依赖不满足),,Enable Efinix sapphire GPIO driver.,DT_HAS_EFINIX_SAPPHIRE_GPIO_ENABLED
CONFIG_GPIO_EMUL,drivers/gpio,bool,drivers/gpio/Kconfig.emul:6,y,y,—(未定义/依赖不满足),,"Enable the emulated GPIO driver. Mainly used for testing, this driver allows for an arbitrary number of emulated GPIO controllers to be instantiated. Furthermore, the emulated pins can be ""wired"" using the regular GPIO callback API and the additional API available in drivers/gpio/gpio_emul.h . Configuration for each GPIO instance is accomplished using device tree and an example of such a configuration is in tests/drivers/gpio/gpio_basic_api/boards/native_posix_64.overlay If unsure, say N.",DT_HAS_ZEPHYR_GPIO_EMUL_ENABLED
CONFIG_GPIO_EMUL_SDL,drivers/gpio,bool,drivers/gpio/Kconfig.emul_sdl:6,y,y,—(未定义/依赖不满足),,Enable GPIO emulation using SDL keyboard events.,DT_HAS_ZEPHYR_GPIO_EMUL_SDL_ENABLED | GPIO_EMUL | HAS_SDL
CONFIG_GPIO_ENABLE_DISABLE_INTERRUPT,drivers/gpio,bool,drivers/gpio/Kconfig:80,n（隐式）,—,n(未启用),,"This option enables the support for enabling/disabling interrupt with previous configuration, and enabling/disabling the interrupt only turns on/off the interrupt signal without changing other registers, such as pending register, etc. The driver must implement it to work.",
CONFIG_GPIO_EOS_S3,drivers/gpio,bool,drivers/gpio/Kconfig.eos_s3:6,y,y,—(未定义/依赖不满足),,Enable the EOS S3 gpio driver.,DT_HAS_QUICKLOGIC_EOS_S3_GPIO_ENABLED
CONFIG_GPIO_ESP32,drivers/gpio,bool,drivers/gpio/Kconfig.esp32:6,y,y,—(未定义/依赖不满足),,Enables the ESP32 GPIO driver,DT_HAS_ESPRESSIF_ESP32_GPIO_ENABLED
CONFIG_GPIO_FXL6408,drivers/gpio,bool,drivers/gpio/Kconfig.fxl6408:4,y,y,—(未定义/依赖不满足),,Enable driver for FXL6408 I2C-based GPIO chip.,DT_HAS_FCS_FXL6408_ENABLED | I2C
CONFIG_GPIO_FXL6408_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.fxl6408:14,80,80,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_GD32,drivers/gpio,bool,drivers/gpio/Kconfig.gd32:4,y,y,—(未定义/依赖不满足),,Enable the GD32 GPIO driver.,DT_HAS_GD_GD32_GPIO_ENABLED
CONFIG_GPIO_GECKO,drivers/gpio,bool,drivers/gpio/Kconfig.gecko:6 | soc/arm/silabs_exx32/efm32gg11b/Kconfig.defconfig.efm32gg11b:6 | soc/arm/silabs_exx32/efm32gg12b/Kconfig.defconfig.efm32gg12b:5 | soc/arm/silabs_exx32/efr32bg22/Kconfig.defconfig.efr32bg22:6 | soc/arm/silabs_exx32/efr32bg27/Kconfig.defconfig.efr32bg27:6 | soc/arm/silabs_exx32/efr32mg21/Kconfig.defconfig.efr32mg21:6,y,y,—(未定义/依赖不满足),,Enable the Gecko gpio driver.,DT_HAS_SILABS_GECKO_GPIO_PORT_ENABLED | GPIO || LOG_BACKEND_SWO
CONFIG_GPIO_GECKO_COMMON_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.gecko:14,39,39,—(未定义/依赖不满足),,,GPIO_GECKO
CONFIG_GPIO_GET_CONFIG,drivers/gpio,bool,drivers/gpio/Kconfig:58,n（隐式）,—,n(未启用),,This option enables the support for getting the current configurations of GPIOs. The driver must implement it to work.,
CONFIG_GPIO_GET_DIRECTION,drivers/gpio,bool,drivers/gpio/Kconfig:47,n（隐式）,—,n(未启用),,"Enable this option if the application does not maintain its own GPIO direction state. With this option enabled, the application may query GPIO direction via gpio_port_get_direction(), gpio_pin_is_input(), and gpio_pin_is_output().",
CONFIG_GPIO_HOGS,drivers/gpio,bool,drivers/gpio/Kconfig:65,$(dt_gpio_hogs_enabled),$(dt_gpio_hogs_enabled),n(未启用),,Enable support for GPIO hogs. GPIO hogging is a mechanism for providing automatic GPIO configuration via devicetree.,
CONFIG_GPIO_HOGS_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig:72 | boards/xtensa/m5stack_core2/Kconfig.defconfig:32,41,82 | 41,—(未定义/依赖不满足),,GPIO hogs initialization priority. GPIO hogs must be initialized after the GPIO controller drivers.,GPIO_HOGS
CONFIG_GPIO_I2C_SWITCH,drivers/i2c,bool,drivers/i2c/Kconfig:199,y,y,—(未定义/依赖不满足),,Enable GPIO controlled I2C bus switch driver.,DT_HAS_GPIO_I2C_SWITCH_ENABLED
CONFIG_GPIO_IMX,drivers/gpio,bool,drivers/gpio/Kconfig.imx:6,y,y,—(未定义/依赖不满足),,Enable the IMX GPIO driver.,HAS_IMX_GPIO | DT_HAS_NXP_IMX_GPIO_ENABLED
CONFIG_GPIO_INFINEON_CAT1,drivers/gpio,bool,drivers/gpio/Kconfig.ifx_cat1:7,y,y,—(未定义/依赖不满足),,Enable support for Infineon CAT1 GPIO controllers.,DT_HAS_INFINEON_CAT1_GPIO_ENABLED
CONFIG_GPIO_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig:41 | soc/arm/microchip_mec/mec1501/Kconfig.soc:94 | soc/arm/microchip_mec/mec172x/Kconfig.soc:81,KERNEL_INIT_PRIORITY_DEFAULT,KERNEL_INIT_PRIORITY_DEFAULT | 41,40,,GPIO driver device initialization priority.,
CONFIG_GPIO_INTEL,drivers/gpio,bool,drivers/gpio/Kconfig.intel:6,y,y,—(未定义/依赖不满足),,Enable driver for Intel SoC GPIO,DT_HAS_INTEL_GPIO_ENABLED
CONFIG_GPIO_INTEL_CHECK_PERMS,drivers/gpio,bool,drivers/gpio/Kconfig.intel:13,y,y,—(未定义/依赖不满足),,"This option enables the checks to make sure the GPIO pin can be manipulated. Only if the pin is owned by the host software and its functioning as GPIO, then the driver allows manipulating the pin. Say y if unsure.",GPIO_INTEL
CONFIG_GPIO_ITE_IT8XXX2,drivers/gpio,bool,drivers/gpio/Kconfig.it8xxx2:4,y,y,—(未定义/依赖不满足),,Enable driver for the ite GPIO controller.,DT_HAS_ITE_IT8XXX2_GPIO_ENABLED
CONFIG_GPIO_ITE_IT8XXX2_V2,drivers/gpio,bool,drivers/gpio/Kconfig.it8xxx2:11,y,y,—(未定义/依赖不满足),,Enable driver for the ite GPIO V2 controller.,DT_HAS_ITE_IT8XXX2_GPIO_V2_ENABLED
CONFIG_GPIO_KSCAN_ITE_IT8XXX2,drivers/gpio,bool,drivers/gpio/Kconfig.it8xxx2:18,y,y,—(未定义/依赖不满足),,"Enable GPIO KSCAN driver for ITE chip it8xxx2. IT8XXX2 support 8 KSI pins and 18 KSO pins, all of them can be configured to GPIO mode. KSI[7:0] and KSO[15:0] pins are configured to GPIO mode by this GPIO_KSCAN_ITE_IT8XXX2 driver. KSO[17:16] corresponds to GPC5 and GPC3 pin, so they can be configured to gpio mode by original GPIO_ITE_IT8XXX2 driver.",DT_HAS_ITE_IT8XXX2_GPIOKSCAN_ENABLED
CONFIG_GPIO_LITEX,drivers/gpio,bool,drivers/gpio/Kconfig.litex:6,y,y,—(未定义/依赖不满足),,Enable Litex GPIO driver.,DT_HAS_LITEX_GPIO_ENABLED
CONFIG_GPIO_LMP90XXX,drivers/gpio,bool,drivers/gpio/Kconfig.lmp90xxx:6,y,y,—(未定义/依赖不满足),,"Enable GPIO driver for LMP90xxx. The LMP90xxx is a multi-channel, low power sensor analog frontend (AFE). The GPIO port of the LMP90xxx (D6 to D0) is exposed as a GPIO controller driver with read/write support.",DT_HAS_TI_LMP90XXX_GPIO_ENABLED | ADC_LMP90XXX_GPIO
CONFIG_GPIO_LMP90XXX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.lmp90xxx:20,99,99,—(未定义/依赖不满足),,Device driver initialization priority. This driver must be initialized after the LMP90xxx ADC driver.,GPIO_LMP90XXX
CONFIG_GPIO_LPC11U6X,drivers/gpio,bool,drivers/gpio/Kconfig.lpc11u6x:6,y,y,—(未定义/依赖不满足),,Enable GPIO driver for LPC11U6x MCUs.,DT_HAS_NXP_LPC11U6X_GPIO_ENABLED | CLOCK_CONTROL_LPC11U6X
CONFIG_GPIO_MCHP_MSS,drivers/gpio,bool,drivers/gpio/Kconfig.mchp_mss:6,y,y,—(未定义/依赖不满足),,Enable PolarFire SoC Icicle Kit GPIO driver.,DT_HAS_MICROCHIP_MPFS_GPIO_ENABLED
CONFIG_GPIO_MCP230XX,drivers/gpio,bool,drivers/gpio/Kconfig.mcp23xxx:12,y,y,—(未定义/依赖不满足),,Enable driver for MCP230XX I2C-based GPIO chip.,DT_HAS_MICROCHIP_MCP230XX_ENABLED | I2C
CONFIG_GPIO_MCP230XX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.mcp23xxx:23,75,75,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_MCP23S17,drivers/gpio,bool,drivers/gpio/Kconfig.mcp23s17:6,y,y,—(未定义/依赖不满足),,Enable driver for MCP23S17 SPI-based GPIO chip.,DT_HAS_MICROCHIP_MCP23S17_ENABLED | SPI
CONFIG_GPIO_MCP23S17_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.mcp23s17:16,75,75,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_MCP23SXX,drivers/gpio,bool,drivers/gpio/Kconfig.mcp23xxx:31,y,y,—(未定义/依赖不满足),,Enable driver for MCP23SXX SPI-based GPIO chip.,DT_HAS_MICROCHIP_MCP23SXX_ENABLED | SPI
CONFIG_GPIO_MCP23SXX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.mcp23xxx:42,75,75,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_MCP23XXX,drivers/gpio,bool,drivers/gpio/Kconfig.mcp23xxx:6,n（隐式）,—,—(未定义/依赖不满足),,Enable support for the Microchip 23xxx I2C/SPI IO expanders.,
CONFIG_GPIO_MCUX,drivers/gpio,bool,drivers/gpio/Kconfig.mcux:7,y,y,—(未定义/依赖不满足),,Enable the MCUX pinmux driver.,DT_HAS_NXP_KINETIS_GPIO_ENABLED
CONFIG_GPIO_MCUX_IGPIO,drivers/gpio,bool,drivers/gpio/Kconfig.mcux_igpio:6,y,y,—(未定义/依赖不满足),,Enable the MCUX IGPIO driver.,HAS_MCUX_IGPIO | DT_HAS_NXP_IMX_GPIO_ENABLED
CONFIG_GPIO_MCUX_LPC,drivers/gpio,bool,drivers/gpio/Kconfig.mcux_lpc:6,y,y,—(未定义/依赖不满足),,Enable the MCUX LPC pinmux driver.,DT_HAS_NXP_LPC_GPIO_ENABLED
CONFIG_GPIO_MCUX_RGPIO,drivers/gpio,bool,drivers/gpio/Kconfig.mcux_rgpio:6,y,y,—(未定义/依赖不满足),,Enable the MCUX RGPIO driver.,DT_HAS_NXP_IMX_RGPIO_ENABLED
CONFIG_GPIO_MMIO32,drivers/gpio,bool,drivers/gpio/Kconfig.mmio32:4,n（隐式）,—,—(未定义/依赖不满足),,"This is a driver for accessing a simple, fixed purpose, 32-bit memory-mapped i/o register using the same APIs as GPIO drivers. This is useful when an SoC or board has registers that aren't part of a GPIO IP block and these registers are used to control things that Zephyr normally expects to be specified using a GPIO pin, e.g. for driving an LED, or chip-select line for an SPI device.",
CONFIG_GPIO_NCT38XX,drivers/gpio,bool,drivers/gpio/Kconfig.nct38xx:6,y,y,—(未定义/依赖不满足),,Enable driver for NCT38XX I2C-based GPIO chip.,DT_HAS_NUVOTON_NCT38XX_GPIO_PORT_ENABLED
CONFIG_GPIO_NCT38XX_ALERT,drivers/gpio,bool,drivers/gpio/Kconfig.nct38xx:31,y,y,—(未定义/依赖不满足),,Enable interrupt support in NCT38XX driver.,DT_HAS_NUVOTON_NCT38XX_GPIO_ALERT_ENABLED
CONFIG_GPIO_NCT38XX_ALERT_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.nct38xx:38,84,84,—(未定义/依赖不满足),,NCT38XX alert handler initialization priority. This initialization must take place after the alert GPIO device is initialized.,GPIO_NCT38XX_ALERT
CONFIG_GPIO_NCT38XX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.nct38xx:17,82,82,—(未定义/依赖不满足),,NCT38xx GPIO driver initialization priority. The priority must be lower than MFD_INIT_PRIORITY.,
CONFIG_GPIO_NCT38XX_PORT_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.nct38xx:24,84,84,—(未定义/依赖不满足),,NCT38xx GPIO port device driver initialization priority. The priority must be lower than GPIO_NCT38XX_INIT_PRIORITY device.,
CONFIG_GPIO_NEORV32,drivers/gpio,bool,drivers/gpio/Kconfig.neorv32:6,y,y,—(未定义/依赖不满足),,Enable NEORV32 GPIO driver.,DT_HAS_NEORV32_GPIO_ENABLED | SYSCON
CONFIG_GPIO_NPCX,drivers/gpio,bool,drivers/gpio/Kconfig.npcx:6,y,y,—(未定义/依赖不满足),,This option enables the GPIO driver for NPCX family of processors. Say y if you wish to use serial port on NPCX MCU.,DT_HAS_NUVOTON_NPCX_GPIO_ENABLED
CONFIG_GPIO_NPM1300,drivers/gpio,bool,drivers/gpio/Kconfig.npm1300:4,y,y,—(未定义/依赖不满足),,Enable the nPM1300 GPIO driver.,DT_HAS_NORDIC_NPM1300_GPIO_ENABLED
CONFIG_GPIO_NPM1300_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.npm1300:13,85,85,—(未定义/依赖不满足),,Initialization priority for the nPM1300 GPIO driver. It must be greater than the I2C controller init priority.,GPIO_NPM1300
CONFIG_GPIO_NPM6001,drivers/gpio,bool,drivers/gpio/Kconfig.npm6001:4,y,y,—(未定义/依赖不满足),,Enable the nPM6001 GPIO driver.,DT_HAS_NORDIC_NPM6001_GPIO_ENABLED
CONFIG_GPIO_NPM6001_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.npm6001:13,85,85,—(未定义/依赖不满足),,Initialization priority for the nPM6001 GPIO driver.,GPIO_NPM6001
CONFIG_GPIO_NRFX,drivers/gpio,bool,drivers/gpio/Kconfig.nrfx:4,y,y,—(未定义/依赖不满足),,Enable GPIO driver for nRF line of MCUs.,DT_HAS_NORDIC_NRF_GPIO_ENABLED
